,headline,is_sarcastic,website
326,Historic Preservationists Place Eiffel Tower In Jar Of Formaldehyde,1,the Onion
327,Thousands Of Factories Trump Brought Back To America Spend Another Day Churning Out Well-Made Products,1,the Onion
328,Smithsonian Devotes New Exhibit To First African-American To Use Whites-Only Glory Hole,1,the Onion
329,Migrants Ron DeSantis Had Flown To Martha's Vineyard Now On Track For Special Visas,0,huffpost.com
330,This Stylist Gets Paid To Make Food Look Good. Here's How She Does It.,0,huffpost.com
331,No More Mr. 'Iowa Nice' Guy: Former GOP Giant Jim Leach On Siding Against Chuck Grassley,0,huffpost.com
332,Study Finds Fewer Than 2% Of College Athletes Go On To Open Steakhouse Named After Themselves,1,the Onion
333,Kryptonite Introduces New 15-Ton Bike Anchor,1,the Onion
334,Penn State To Host Proud Boys Leader Gavin McInnes For 'Comedy Show',0,huffpost.com
335,"AWKWARD: Fox News Hosts Defend Kanye West, Backtrack After Antisemitic Tweet",0,huffpost.com
336,Ketanji Brown Jackson Gives The Supreme Court A History Lesson,0,huffpost.com
337,Hearing Aid Prices Set To Plummet After FDA Allows Over-the-Counter Sales,0,huffpost.com
338,"Is Fentanyl As Deadly As It Seems? The Death Of Our Intern Whose Coffee We Laced Suggests Yes, It Is",1,the Onion
339,Celebrities Explain Why They Date Younger Partners,1,the Onion
340,GOP Challenger Mocked For Sweet Bro Compliment To Incumbent Governor,0,huffpost.com
341,Great Britain Returns Looted Stonehenge Back To India,1,the Onion
342,"Police: 5 Killed, Including Officer, In North Carolina Shooting",0,huffpost.com
343,Things You Should Never Say To Your Amazon Alexa,1,the Onion
344,Woman Tries Meeting New People By Popping Out Different Manholes Than Usual,1,the Onion
345,Single Woman Seated At Wedding’s Dessert Table,1,the Onion
346,Kremlin War Hawks Demand More Devastating Strikes On Ukraine,0,huffpost.com
347,Supreme Court Justices Question Alabama's Argument To Gut The Voting Rights Act,0,huffpost.com
348,Man Alarmed By Appearance Of First Gray Arm,1,the Onion
349,Niemann Cheating Scandal Spirals Out Of Control As Magnus Carlsen’s Rook Found Dead,1,the Onion
350,NFL's Concussion Protocol Modified After Tua Tagovailoa Review,0,huffpost.com
351,"Alex Jones Will Likely Be Broke 'For The Rest Of His Life,' Ex-Prosecutor Says",0,huffpost.com
352,Retired St. Louis Priest Admits To Possessing Thousands Of Child Porn Images,0,huffpost.com
353,Herschel Walker Says His Grandma Was 'Full-Blood Cherokee.' His Mom Says Otherwise.,0,huffpost.com
354,Trump Asks Supreme Court To Intervene In Mar-A-Lago Secret Document Dispute,0,huffpost.com
355,Israeli PM Announces 'Historic' Sea Border Deal With Lebanon,0,huffpost.com
356,Guide And Prejudice,1,the Onion
357,LA City Council Member Steps Down As President After Leaked Audio Of Racist Comments,0,huffpost.com
358,"LA Carjacking Victim Dragged, Killed During Police Pursuit",0,huffpost.com
359,Greg Gutfeld Complains College Students Aren't Good-Looking Anymore,0,huffpost.com
360,Tucker Carlson's Latest Attack On Democrat John Fetterman Comes Back To Bite Him,0,huffpost.com
361,Newt Gingrich Mercilessly Mocked For Bizarre Hot Take On Herschel Walker,0,huffpost.com
362,"2 Anglers Fight Off Sharks, Cling To Improvised Floats In 28-Hour Ordeal",0,huffpost.com
363,Study Finds Consumers Wish Self-Checkout Kiosk Would Tell Them They Did Great Job,1,the Onion
364,Rep. Jim Jordan's Rant About 'Real America' Backfires Spectacularly,0,huffpost.com
365,"BTS Members Will Serve In South Korea’s Military, Agency Says",0,huffpost.com
366,Black Student Breaks Dress Code By Having Hair,1,the Onion
367,Uvalde School District Suspends Its Entire Campus Police Force For Unknown Period,0,huffpost.com
368,Texas Man Charged With Migrant's Death Ran Detention Center Accused Of Abuse,0,huffpost.com
369,"Ron Johnson: ‘Hey, Don’t Boo Me, I’m Not The Black Guy’",1,the Onion
370,"Biden Leaves LA Taco Shop Owner Huge Tip, Wallet, Car Keys, Phone, Belt, Shoes",1,the Onion
371,U.S. Records 1 Millionth Organ Transplant,1,the Onion
372,GOP Senator Makes Racist Comment Equating Black People To Criminals,0,huffpost.com
373,Fantasy Football Player Instinctively Boos At Own Draft Picks,1,the Onion
374,Rural Resident Has To Travel More Than 2 Miles To Hear Nearest Neighbors Have Sex,1,the Onion
375,Most People With Weed Convictions Don’t Qualify For Biden’s Pardons,0,huffpost.com
376,"2 People Shot Outside Home Of Lee Zeldin, GOP Nominee For New York Governor",0,huffpost.com
377,Mom Compliments Foreigner On How Cheap Everything Is In Their Country,1,the Onion
378,Teen Boy Entering That Awkward Phase Where He A Fucking Pervert,1,the Onion
379,Fox News Hosts React To Dominion Voting Systems Lawsuit,1,the Onion
380,Hardly Davidson,1,the Onion
381,North Korea Says It Will Never Give Up Nuclear Weapons,1,the Onion
382,Appeals Court Ruling Allows Arizona Abortions To Restart,0,huffpost.com
383,The Redcoats Are Bumming,1,the Onion
384,Search Underway For Family Of 4 Kidnapped From California Business: Sheriff,0,huffpost.com
385,North Korea Launches 2 Missiles Toward Sea After U.S.-South Korea Drills,0,huffpost.com
386,North Korea Says Missile Launches Tested Ability To 'Hit And Wipe Out' Enemies,0,huffpost.com
387,"Donald Trump Sues CNN For Defamation, Inspiring Twitter Mockery",0,huffpost.com
388,Solar Power Investment Skyrockets Upon Discovery Of Massive Underground Deposit Of Sunlight,1,the Onion
389,Family Convinces Itself Grandmother Wanted Her Ashes Scattered Over Funeral Home Parking Lot,1,the Onion
390,The Right Can’t Stop Talking About This Conspiracy Theory Movie — And It’s Roiling The Midterms,0,huffpost.com
391,Satisfying: Watch This Water Balloon Burst With Liquid Just As Intended,1,the Onion
392,Shinzo Abe’s Assassin Annoyed By Lousy Seats At State Funeral,1,the Onion
393,"Most Salacious Allegations Are Off Limits At Trump Dossier Trial, Judge Rules",0,huffpost.com
394,Best Bios From The Conservatives-Only Online Dating Site ‘The Right Stuff’,1,the Onion
395,Silk Introduces New Milk Alternative Made From Blended And Strained Cattle,1,the Onion
396,38-Year-Old Man Still Careful Not To Say Anything Former Middle School Bully Would Disapprove Of,1,the Onion
397,Biden Confirms He'll Run For President Again In 2024: Report,0,huffpost.com
398,Lawrence O'Donnell Shows How Trump Lawyers 'Stepped In It' With 1 Word,0,huffpost.com
399,"Man Arrested In Connection With 4 Oklahoma Slayings, Police Say",0,huffpost.com
400,Study Finds Over Half Of Blind Americans With Walking Sticks Covert Assassins,1,the Onion
401,New California Water Restrictions Limit Shower Sex To Once Per Week,1,the Onion
402,Jean-Luc Godard Dies At End Of Life In Uncharacteristically Linear Narrative Choice,1,the Onion
403,Supreme Court Rejects Donald Trump's Appeal On Classified Mar-A-Lago Docs,0,huffpost.com
404,Supreme Court Declines To Take Case Aimed At Overturning 100-Year-Old Racist Precedents,0,huffpost.com
405,Billionaire Writes Name On Cup Of Adrenochrome So He Won’t Forget Which One His,1,the Onion
406,Multiple Trump Associates Discussed Plan To Declare 2020 Victory Before Votes Were Counted,0,huffpost.com
407,LeBron James Declares Re-Signing With Lakers Gives Him Best Chance To Miss Playoffs,1,the Onion
408,New York Subway To Install Security Cameras In All Train Cars,1,the Onion
409,"How Rep. Matt Cartwright, A Progressive Democrat, Survives In Trump Country",0,huffpost.com
410,Black Homeowner Receives Higher Appraisal After Displaying Pictures Of Klan Members,1,the Onion
411,Ben Sasse Is Resigning From The Senate,0,huffpost.com
412,Saudis Sentence U.S. Citizen To 16 Years Over Tweets: Family,0,huffpost.com
413,Lisa Gilroy's Tearful Callout Of Her Misbehaving Fans Takes Unexpected Turn,0,huffpost.com
414,Mehmet Oz Responds To Fetterman Tweet With A Truly Crappy Retort,0,huffpost.com
415,$1.34 Billion Lottery Prize Still Unclaimed,1,the Onion
416,Ohioans Explain Why They Are Voting For J.D. Vance,1,the Onion
417,Experts Link Poor Posture To Accurate Understanding Of Self-Worth,1,the Onion
418,DeSantis Gives Interview To Jan. 6 Attendee Wearing ‘Three Percenters’ Militia Insignia,0,huffpost.com
419,Ecologists Disappointed After Finding Monarch Butterflies Hiding Pack Of Cigarettes In Habitat,1,the Onion
420,"'The Watcher' Viewers Keep Showing Up At Real House In New Jersey, Disturbing Residents",0,huffpost.com
421,Disappointing Box Office Numbers For ‘Bros’ Force Biden To Ban Gay Marriage,1,the Onion
422,Marijuana Reform Advocates Worry Biden Administration Won’t Decriminalize It,0,huffpost.com
423,Brett Favre Defends Use Of State Welfare Money To Build Shelter For Homeless Volleyballs,1,the Onion
424,Feds Probe Florida Gov. Ron DeSantis On Funding For Migrant Plane Trip,0,huffpost.com
425,First Mate’s Solution To Everything Battening Down The Hatches,1,the Onion
426,Dem Strategist Rips Republicans With Reason For Their ‘Very Low-Quality Candidates’,0,huffpost.com
427,Family Just Wants To Ensure Grandma’s Dinner As Comfortable And Pain-Free As Possible,1,the Onion
428,Biden Issues Urgent Warning For Americans To Decide What To Be For Halloween Now,1,the Onion
429,UN Demands Russia Reverse 'Illegal' Annexations In Ukraine,0,huffpost.com
430,Putin Is Using Elon Musk To Signal Terms For Ending Ukraine War: Russia Expert,0,huffpost.com
431,Fishing Tournament Ends In Cheating Scandal After Weights Found In Walleye,1,the Onion
432,Alabama Prison Strike Organizer: ‘They’re At War For Their Life And Freedom’,0,huffpost.com
433,'You're On Tape': J.D. Vance Caught In A Lie During Ohio Senate Debate,0,huffpost.com
434,I’ve Been To 650 Countries. Here Are My Awards,1,the Onion
435,Astros Caught Politely Asking Catcher For Little Heads-Up On Pitch Selection,1,the Onion
436,Iowa Art Students Spend Class Sculpting Butter With Live Cow Model,1,the Onion
437,Alex Jones Verdict Inspires Twitter Users To New Heights Of Schadenfreude,0,huffpost.com
438,McDonald’s To Start Offering Happy Meals For Adults,1,the Onion
439,Poll Finds 43% Of Americans Expect Civil War Within Next 10 Years,1,the Onion
440,Mary Peltola Defeats Sarah Palin To Become First Alaska Native Elected To Congress,1,the Onion
441,John Fetterman Offers Voters Medical Transparency By Ripping Heart Out Of Chest,1,the Onion
442,Budget Cuts Forcing More Teachers To Also Act As Class Pets,1,the Onion
443,Marjorie Taylor Greene Ripped For Ludicrous Defense Of Alex Jones,0,huffpost.com
444,Fake Heiress Anna Sorokin Released From Jail,1,the Onion
445,More Businesses Offering Silver Fox Discounts To Seniors Who Still Got It,1,the Onion
446,Florida Jury Recommends Life In Prison For Parkland School Shooter,0,huffpost.com
447,GOP Heavies Head For Georgia To Prop Up Herschel Walker's Reeling Campaign,0,huffpost.com
448,Embarrassing Mistakes Every College Freshman Makes,1,the Onion
449,Dairy Queen Fires Employee Who Discovered Blizzard Machine Gained Sentience,1,the Onion
450,Walgreens To Now Offer Baths,1,the Onion
451,Pelosi Taunts Trump For Lack Of Courage On Jan. 6: 'He's All Talk',0,huffpost.com
452,Trump Fundraising Overhead Soaks Up 91 Cents Of Each Donor Dollar: Report,0,huffpost.com
453,NFL Players React To The League’s Concussion Protocol,1,the Onion
454,Arnold Schwarzenegger And Sylvester Stallone Carve Pumpkins Together For Halloween,0,huffpost.com
455,"Positive Pregnancy Test Immediately Sprouts Robotic Legs, Scans Woman’s Face With Laser",1,the Onion
456,NYC Opens Emergency Center For Influx Of Bused Migrants,0,huffpost.com
457,Identical Twins Unconcerned After Having Bodies Swapped By Lightning Strike,1,the Onion
458,IMF Warns Of Higher Recession Risk And Darker Global Outlook,0,huffpost.com
459,"San Antonio Spurs Hold Open Practice, Interact With Children At Uvalde School",0,huffpost.com
460,"LA Council Member Takes Leave Of Absence Following Racist Comments, Still Not Resigning",0,huffpost.com
461,Cop Still Shooting Unarmed Civilian He Pulled Over Last Night,1,the Onion
462,There’s A Dishonest Right-Wing Furor Over Recent Arrests Of Anti-Abortion Activists,0,huffpost.com
463,Candid Video Shows Top Lawmakers Begging Law Enforcement To Stop Jan. 6 Mob,0,huffpost.com
464,Stephen Curry Shouts Out To Brittney Griner In Warriors' Opening Night Ceremony,0,huffpost.com
465,Bloody Janet Yellen Drags U.S. Treasury Funds Through Arizona Desert After Money Supply Handoff Goes South,1,the Onion
466,European Union Agrees On Price Cap For Russian Oil Over Ukraine War,0,huffpost.com
467,Dozens Of Kids Murdered In Mass Shooting At Thai Day Care Center,0,huffpost.com
468,'How Dare You': Mike Lee Confronted Over Jan. 6 Scheme In Senate Debate,0,huffpost.com
469,"Liz Cheney Slams Trump For 'Despicable, Racist' Attack On Elaine Chao",0,huffpost.com
470,More MLB Teams Trying To Attract Younger Audience With Free Prostate Exam Day,1,the Onion
471,GOP Candidate Critical Of Mail-In Voting Used Mail To Vote: Report,0,huffpost.com
472,Mysterious Black Janitor Annoyed To Be Wasting His Folk Wisdom On White Man Asking Crypto Advice,1,the Onion
473,Friends So Grateful To Have Morally Perfect Woman Around To Correct Them,1,the Onion
474,George Conway Envisions Nightmare Scenario Before Trump’s Final Reckoning,0,huffpost.com
475,Joe Biden Creates His First National Monument,0,huffpost.com
476,January 6 Committee Votes To Subpoena Donald Trump,1,the Onion
477,Parents Explain Why They Are Not Vaccinating Their Children Against Covid-19,1,the Onion
478,Leaked Documents Reveal CIA Secretly Flooded White Communities With Vegetables,1,the Onion
479,Texas Family Of 5 Sentenced Together For Breaking Into U.S. Capitol On Jan. 6,0,huffpost.com
480,'Worst Political Ad Ever!': Video For GOP Candidate Goes Viral For Wrong Reason,0,huffpost.com
481,"Bill Nye Batters Republicans, Fox News With Emotional Plea On Climate Change",0,huffpost.com
482,Child Not Talented Enough Artist To Get Across Homicidal Ideations,1,the Onion
483,Dennis Rodman Plans Trip To Russia To Seek Brittney Griner’s Release,1,the Onion
484,GOP Candidate Kari Lake Busted For Using Russia Troops In 'Secure Our Border' Ad,0,huffpost.com
485,John Cena Sets Guinness World Record For Make-A-Wish Grants,1,the Onion
486,Everything You Need To Know About Amazon’s ‘The Lord Of The Rings: The Rings Of Power’,1,the Onion
487,Israel Deploys Low-Speed Targeted Rockets That Follow Individual Palestinians Around Throughout Day,1,the Onion
488,"Anti-Abortion Groups, Top Republicans Stick By Herschel Walker After Bombshell Report",0,huffpost.com
489,"‘Wait, This Has Weed In It?’ Asks Panicked Party Guest Speaking Through Mouthful Of Buds",1,the Onion
490,NASA Announces Mars Rover Ran Into Jason Schwartzman But Didn’t Take Any Pictures Because It Didn’t Want To Be Weird,1,the Onion
491,North Korea Fires Ballistic Missile Over Japan For First Time In 5 Years,0,huffpost.com
492,Insomnia Experts Unanimously Recommend Giving Up And Scrolling ‘The Onion’ Until Daybreak,1,the Onion
493,Mercedes Addresses Nazi Contributions With Reminder That Third Reich Had Notoriously High Standards,1,the Onion
494,Airbnb Owner Outbid On House By Family That Just Going To Use It As A Home,1,the Onion
495,Exhausted Couple Relieved Toddler Finally Asleep So They Can Talk Shit About Her,1,the Onion
496,Professor Invites Student Over To House For Private Ethics Violation,1,the Onion
497,Mehmet Oz Busted: Woman He 'Comforted' At Event Was Reportedly An Aide,0,huffpost.com
498,Putin Signs Annexation Of Ukrainian Regions As Losses Mount,0,huffpost.com
499,Idaho Man Dies While Fighting As Volunteer In Ukraine,0,huffpost.com
500,Ex-NBA Star Ben Gordon Allegedly Punched Son In Face Multiple Times At Airport,0,huffpost.com
501,Americans Explain Why They Oppose Canceling Student Debt,1,the Onion
502,Police Horse Unaware That What He Is,1,the Onion
503,Biden Has ‘No Plans’ To Meet With Saudi Crown Prince,0,huffpost.com
504,Disney Wins Emmy For Best Profits,1,the Onion
505,"‘I’m Mr. Q The Pedophile Or Whatever,’ Trump Says In Half-Assed Attempt To Pander To QAnon",1,the Onion
506,"Biden's Student Debt Relief Plan Driven By 'Improper Racial Motive,' New Lawsuit Says",0,huffpost.com
507,California To Ban Sale Of New Gasoline Cars By 2035,1,the Onion
508,Blackout Drunk Man Reasons That More Alcohol Could Only Make Him Feel Even Better,1,the Onion
509,A Sandy Hook Harasser Desecrated A Child's Grave. Another Threatened To Dig It Up.,0,huffpost.com
510,Clinics Offer Free Vasectomies; Demand Surges After Roe Vs. Wade Was Overturned,0,huffpost.com
511,Trump’s Coup Attempt Could Cost GOP A House Seat Because Of Autocracy-Wary Latinos,0,huffpost.com
512,U.S. Approves Billions To Fund Struggling Russian Military,1,the Onion
513,Truth Social Exec Forced Off Board After Ignoring Trump Demand To Gift Stock To Melania: Report,0,huffpost.com
514,"The Wall Street Journal, Once Trump-Friendly, Bashes His 'Dereliction Of Duty'",0,huffpost.com
515,'SuperFly' Actor Kaalan Walker Sentenced To At Least 50 Years After Rape Conviction,0,huffpost.com
516,Man Starting To Suspect Chess Opponent With All Queens Hustling Him,1,the Onion
517,'We Are F**KED’: New Book Reveals How GOP Senators Bailed Out Trump During 1st Impeachment Trial,0,huffpost.com
518,Patagonia Founder Donates Company To Environmental Nonprofit,1,the Onion
519,Biggest Royal Scandals Under Queen Elizabeth’s Reign,1,the Onion
520,New Zealand Proposes Taxing Cow Burps,1,the Onion
521,King Charles III's Coronation Date Announced,0,huffpost.com
522,"‘So You Brought Home A White Girl, Huh?’ Say Skeptical White Parents To White Son",1,the Onion
523,Deceased Queen Elizabeth Continues To Wave At Subjects As Maggots Writhe Inside Corpse,1,the Onion
524,"She Pioneered Computing Science: Honoring Ada Lovelace, The Woman Whose Incredible Work Will Lead To The Collapse Of Civilization",1,the Onion
525,Donald Trump On Losing Supreme Court Case: ‘Why Didn’t We Make More Calls?’,0,huffpost.com
526,Considerate Woman Informs Masturbating Stranger His Fly Is Down,1,the Onion
527,"Week In Review: September 25, 2022",1,the Onion
528,Medical Student Totally Blanks On How To Solemnly Close Dead Patient’s Eyelids,1,the Onion
529,Mindy Kaling Says Matt Lauer's 'Gross' Comments Made Her Love Anne Hathaway,0,huffpost.com
530,Substitute Teacher Chill About Where Kids Hide During Shooting,1,the Onion
531,Dr. Oz Has Some Uncomfortably Specific Thoughts About Drinking His Own Pee,0,huffpost.com
532,Clarence Thomas Annoyed After Getting Another Text From Wife Nagging Him To Overthrow Government Before He Gets Home From Work,1,the Onion
533,CTA Increases Police Presence With Armored SWAT Vehicles On Each Train,1,the Onion
534,"CDC To Update COVID-19 Cases And Deaths Weekly, Ending Daily Reports",0,huffpost.com
535,"What To Know About The Oath Keepers, On Trial For Role In January 6 Riots",1,the Onion
536,NFL To Begin Filling Players With Extra Blood To Boost Ratings,1,the Onion
537,Critics Praise Film For Fresh Commentary On Kevin Hart And Dwayne Johnson’s Contrasting Size,1,the Onion
538,Biden Tries To Hammer Board Into Sand To Kick Off Post-Hurricane Rebuilding Efforts,1,the Onion
539,Local Priest Takes Great Pride In Never Having Molested Anyone,1,the Onion
540,Baby Gate Crumples Under Force Of Big Ol’ Bruiser,1,the Onion
541,Top Issues Of The 2022 Midterms,1,the Onion
542,Pelosi Spills The Beans On How Democrats Can Keep Control Over House,0,huffpost.com
543,NASA’s DART Spacecraft Successfully Collides With Asteroid,1,the Onion
544,‘7 Years Too Late’: Nicolle Wallace Slams Wall Street Journal’s Condemnation Of Trump,0,huffpost.com
545,Mother Of George Floyd's Daughter Sues Kanye West Over Death Comments,0,huffpost.com
546,‘When Did I Eat Asparagus?’ Thinks Man Excreting Whole Asparagus Stalk From Urethra,1,the Onion
547,Biggest Cases Of Welfare Fraud In U.S. History,1,the Onion
548,John Lennon Killer Denied Parole For 12th Time,1,the Onion
549,Billionaires Explain How They Are Preparing For The Apocalypse,1,the Onion
550,Report Finds Russian Hackers Gained Access To Millions Of Metaverse Legs,1,the Onion
551,Rescuers Flock Together To Save 275 Parrots Stranded By Ian,0,huffpost.com
552,Marjorie Taylor Greene Claims She's A Jan. 6 'Victim' During Wild Debate,0,huffpost.com
553,"Teen, 15, Fatally Shot After Argument On New York Subway",0,huffpost.com
554,NASA Panics After Asteroid Fires Back,1,the Onion
555,"Rights Group: 233 Killed In Iran, Protests Enter Fifth Week",0,huffpost.com
556,Officer Claims He Cracked Open Man’s Skull To Check For Drugs,1,the Onion
557,Late Night Host James Corden Briefly Banned From Restaurant For ‘Abusive’ Behavior,1,the Onion
558,Purdue University Student Arrested For Murder Of Roommate In Dorm Room: Police,0,huffpost.com
559,'I'm Going To Punch Him Out': New Jan. 6 Video Shows Pelosi's Reaction To Trump Speech,0,huffpost.com
560,Why Beto O’Rourke Spends So Much Time Visiting Colleges,0,huffpost.com
561,Ex-Oath Keeper Testifies In Jan. 6 Trial That Group Had Secret Service Contact,0,huffpost.com
562,New York Congressional Candidate Releases 'Sex Positive' Porn Video Starring Him,0,huffpost.com
563,Los Angeles Mystery: Who Taped Meeting With Racist Rants?,0,huffpost.com
564,"Trump Supporter Busted For Blowing Up Own Camper Van, Claiming It Was Politically Motivated",0,huffpost.com
565,Tucker Carlson Says Abortion-Rights Preaches Childlessness As 'Cure For The Economy',0,huffpost.com
566,He Marched At The Nazi Rally In Charlottesville. Then He Went Back To Being A Cop.,0,huffpost.com
567,"Remembering Elizabeth II, Britain’s First Girl King",1,the Onion
568,'She Flips On A Dime': Ex-RNC Spokesperson Names GOP Lawmaker He Calls 'The Worst',0,huffpost.com
569,Landlord Informs Tenants Of Upcoming Improvements To His Lake House,1,the Onion
570,Biden Administration Officially Opens Student Loan Forgiveness Form,0,huffpost.com
571,Town Employee Quietly Lowered Fluoride In Water For Years,0,huffpost.com
572,"Feds Vow Major Aid For Hurricane Ian Victims Amid Rescues, Rising Death Count",0,huffpost.com
573,California Police Seeking Possible Serial Killer After 5 Murders,0,huffpost.com
574,Free-Spirited Man Informed It Time To Grow Up And Stop Being Happy,1,the Onion
575,Donald Trump Jr. And Eric Trump Wanted 'Handout' From Truth Social Company: Report,0,huffpost.com
576,Hero Mayor Helps Mom And 3 Kids Flee Stalled Vehicle From Oncoming Train,0,huffpost.com
577,How The Pandemic May Have Changed Gun Ownership In America For The Long Haul,0,huffpost.com
578,The Onion’s Test Sweatshop Helps You Pamper Your Pets,1,the Onion
579,Man Who Shot Iraqi Civilian To Death In Front Of Family Given 10% Discount On Popcorn,1,the Onion
580,FanDuel Attracts New Users With Free $50 Debt,1,the Onion
581,New Supreme Court Case Could Weaken Unions' Ability To Strike,0,huffpost.com
582,Delta Lifts Pandemic-Era Restrictions On Abusing Flight Crew,1,the Onion
583,What To Know About Cancer Risk If You Use Chemical Hair Products,0,huffpost.com
584,Midterms 2022: You Vote Polls Go Elect Election Of Lifetime Choice You Ballot Booth Country Pick,1,the Onion
585,Rep. Marjorie Taylor Greene Puts Kevin McCarthy On Notice With Stark 'Power' Warning,0,huffpost.com
586,Crowd At Poetry Reading Really Digging The Short Ones,1,the Onion
587,Beat Cops,1,the Onion
588,Company Achieves 100% Retention Rate By Barricading Employees In Office,1,the Onion
589,Ron DeSantis Promotes Campaign During Hurricane Recovery Work,0,huffpost.com
590,CIA Launches First Podcast,1,the Onion
591,Café Has Bathroom Code In Case Homeless Person Tries To Regain Scrap Of Own Humanity,1,the Onion
592,Cops Dismissed Abducted Black Women 'Rumor' Before Victim's Basement Escape,0,huffpost.com
593,Hawaiian Travel Ad Boasts Sandy White Tourists As Far As The Eye Can See,1,the Onion
594,Promising Journalism Student Already Self-Censoring To Parrot Corporate Talking Points,1,the Onion
595,U.K. Leader Liz Truss Goes From Triumph To Trouble In 6 Weeks,0,huffpost.com
596,Report: This Article Has Been Edited For Content And Formatted To Fit Your Screen,1,the Onion
597,"In Ian's Wake, Florida Residents Brave A Slow Wait For Power",0,huffpost.com
598,Rochester Reaches $12M Settlement With Daniel Prude's Kids,0,huffpost.com
599,Sen. Mike Lee Mocked For Bland Newspaper Op-Ed Written In Third Person,0,huffpost.com
600,Conservative Commentators You Never Knew Started In Hollywood,1,the Onion
601,Russia Attacks Kyiv With Iranian-Made Kamikaze Drones,0,huffpost.com
602,U.S. Sees Surge In STI Cases,1,the Onion
603,Oscar Isaac Headlines Our Annual Erectile Dysfunction Issue And If He Doesn’t Like That He Should Learn To Answer Our Emails,1,the Onion
604,Social Security Recipients Expected To Receive Big Boost To Benefits,0,huffpost.com
605,The Onion Reviews ‘Good Will Hunting’,1,the Onion
606,Bumbling American Tourist Visiting Vatican Accidentally Breaks Pope,1,the Onion
607,Injecting Modified Herpes Virus Shows Promise Of Killing Off Cancer Cells,1,the Onion
608,Sean Hannity Plays Voicemail From His Dad Calling Him A Piece Of Shit To Demonstrate Healthy Father–Son Relationship,1,the Onion
609,Huma Abedin Explains Why She Took Her Son To See Ex-Husband Anthony Weiner In Prison,0,huffpost.com
610,Heir To Dutch Throne Forced To Stay Home Amid Security Fears,0,huffpost.com
611,Greg Abbott Sends Hundreds Of Migrants To DeSantis’ House To Teach Him Lesson About Stealing Idea,1,the Onion
612,"Recognizing His Election Loss, Trump Tried To Make A ‘Catastrophic’ National Security Move",0,huffpost.com
613,Scientists Announce Earth’s Sewage No Longer Drinkable,1,the Onion
614,BBC Reporter Forced To Take Cover As Missiles Hit Kyiv Live On Air,0,huffpost.com
615,Trump Claims Seized Classified Documents Had Been In His Family For Generations,1,the Onion
616,FDA Announces Adderall Shortage,1,the Onion
617,Uber App Now Allowing Passengers To Rate Driver’s Ethnicity,1,the Onion
618,Lawrence O’Donnell Says Trump 'Confessed' With This 1 Rally Line,0,huffpost.com
619,4 Major Problems Dentists Are Seeing Because Of The Pandemic,0,huffpost.com
620,Big Ben Undergoes Routine Cleaning To Remove Hapless Tourists Dangling From Minute Hand,1,the Onion
621,U.S. Inflation Pressures Further Intensified In September,0,huffpost.com
622,"Russia Offering Hero’s Medal And $16,000 To Women Who Have 10 Kids",1,the Onion
623,Twitter Users Mock Ben Shapiro Tweet Praising And Condemning Kanye West,0,huffpost.com
624,Psychologists Baffled By Iowa Woman Who Posted Thank-You Message To Queen Elizabeth,1,the Onion
625,New Jan. 6 Footage Shows Nancy Pelosi Threatening To Give Trump Bad Stock Tips,1,the Onion
626,Iran's Teenage Girls Are Leading The Protests For Women’s Rights,0,huffpost.com
627,Greg Abbott Fills Last Few Open Seats On Migrant Bus With Jews,1,the Onion
628,Florida School Shooter Faked Fetal Alcohol Symptoms: Expert,0,huffpost.com
629,The Onion Fact-Checks Claims About Student Loan Debt,1,the Onion
630,Abortion Rights Protesters Turn Out Ahead Of 'Roevember' Midterm Elections,0,huffpost.com
631,Drying Danube River Reveals Thriving Underwater Society Of Nazis,1,the Onion
632,The Onion Skewers Saudi Golf Tourney With A 'Play Through' Beheading,0,huffpost.com
633,Owners Freeze As Alexa Begins Moaning Along To Sex,1,the Onion
634,Long Island Republican Stands By Comments Comparing Abortion To Slavery,0,huffpost.com
635,What To Say To A Partner If You Gave Them An STI,1,the Onion
636,Fraternity Pledges Describe Their Worst Hazing Experience,1,the Onion
637,Herschel Walker Abortion Accuser Drops Another Bombshell,0,huffpost.com
638,Shocking Video Captures Calm Police Officers Handling Situation Nonviolently,1,the Onion
639,Bug Crawling On Ceiling Must Be Possessed By Demon,1,the Onion
640,U.S. Clears Updated COVID Boosters For Kids As Young As 5,0,huffpost.com
641,Twitter Critics Explode Over Trump's Threat To Jews To Be More Grateful To Him Or Else,0,huffpost.com
642,First Native American Woman In Space Awed By Mother Earth,0,huffpost.com
643,Who Will Be The Republican Nominee In 2024?,1,the Onion
644,Herschel Walker's Baggage Is Hurting Him With A Key Group Of Voters,0,huffpost.com
645,Voter Fraud Charges Confuse Floridians And Arresting Officers In Bodycam Video,0,huffpost.com
646,Grieving Prince Andrew Asks For 12-Year-Old During This Difficult Time,1,the Onion
647,Dinner Party Guests Make Awkward Small Talk About Host Being Murdered By Someone In This Very Room,1,the Onion
648,Dying Polar Bear Has To Admit Owning A Private Jet Would Be Fucking Sick,1,the Onion
649,CNN’s Chief Nihilist Correspondent Gives Perspective On Why None Of This Matters,1,the Onion
650,"Russian Missile Strike Seriously Damages Key Energy Facility Near Kyiv, Says Ukraine",0,huffpost.com
651,Experts Recommend Americans Prepare 2-3 Dance Moves In Case Excited Circle Forms Around Them,1,the Onion
